photon_spacing,g2,
" 9,139,632,333,333.33 ",2.00E+00,
" 9,277,070,333,333.33 ",2.00E+00,
" 9,277,070,333,333.33 ",2.00E+00,
" 9,414,508,333,333.33 ",2.00E+00,
" 9,551,946,333,333.33 ",2.00E+00,
" 9,689,384,333,333.33 ",2.00E+00,
" 9,689,384,333,333.33 ",2.00E+00,
" 1,168,228,333,333.33 ",2.00E+00,
" 1,305,666,333,333.33 ",2.00E+00,
" 1,443,104,333,333.33 ",2.00E+00,
" 1,443,104,333,333.33 ",2.00E+00,
" 1,580,542,333,333.33 ",2.00E+00,
" 1,717,980,333,333.33 ",2.00E+00,
" 1,855,418,333,333.33 ",2.00E+00,
" 1,855,418,333,333.33 ",2.00E+00,
" 1,992,856,333,333.33 ",2.00E+00,
" 2,130,294,333,333.33 ",2.00E+00,
" 2,267,732,333,333.33 ",2.00E+00,
" 2,267,732,333,333.33 ",2.00E+00,
" 2,405,170,333,333.33 ",2.00E+00,
" 2,542,608,333,333.33 ",2.00E+00,
" 2,680,046,333,333.33 ",2.01E+00,
